PID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
44,-22.446642,-19.697147,-19.060072,-19.174421,-17.147858,-16.300865,-16.872332,-15.279062,-13.054955,-14.206238,-12.972602,-17.238152,-19.56189,-18.749779,-19.392536,-19.831913,-19.107958,-15.597788,-14.226503,-14.629808,-19.127373,-21.62984,-21.952524,-22.609127,-23.303709,-21.825317,-23.408379,-23.562763,-24.375154,-23.4859,-23.453718,-22.33068,-23.549633,-23.508406,-24.31996,-23.685596
45,-21.37885,-19.693811,-20.10632,-18.70631,-15.595921,-19.506046,-15.826008,-15.91818,-14.370123,-15.771998,-14.810638,-15.113907,-15.864981,-14.843474,-17.09993,-18.444702,-17.933035,-15.48501,-14.035287,-13.749799,-19.130816,-20.461798,-21.433434,-22.946377,-24.893293,-22.779543,-23.782003,-24.02027,-24.47814,-24.558304,-25.722855,-23.680878,-24.174097,-24.307335,-23.643913,-22.984598
46,-15.070738,-15.478846,-16.350552,-15.964897,-18.15138,-18.137367,-18.316334,-18.194088,-15.192288,-13.851447,-13.692921,-16.266792,-14.684306,-14.96443,-15.182462,-15.081105,-15.82954,-15.994309,-14.41359,-14.08486,-13.495208,-14.105712,-14.984236,-13.008194,-14.336997,-14.328245,-14.162128,-14.273047,-23.129187,-18.839228,-14.701536,-14.706884,-14.712248,-14.06838,-14.261731,-14.990927
47,-16.305763,-16.204714,-15.041038,-14.801445,-14.90242,-14.786876,-15.957476,-16.225183,-14.847652,-15.494555,-16.877518,-16.576454,-15.177756,-16.446115,-15.16178,-15.05087,-14.228472,-14.4569435,-14.363106,-14.165102,-12.903027,-13.765661,-15.79722,-13.748729,-14.5933895,-14.703321,-14.28995,-13.767584,-17.039383,-16.62711,-16.660255,-17.010105,-16.518616,-16.941559,-14.98398,-15.486244
48,-16.851536,-16.936024,-19.091198,-19.27961,-18.06654,-18.11553,-16.513393,-17.033401,-14.143173,-14.658209,-13.67141,-14.790842,-14.715771,-15.103703,-18.05024,-17.816994,-16.609264,-17.275278,-15.216417,-14.803667,-14.704674,-14.544136,-15.847699,-12.9997425,-15.816259,-15.6072645,-14.777298,-15.085644,-19.953262,-19.608942,-19.234665,-19.548859,-19.322542,-18.24124,-16.465397,-15.961794
49,-15.591114,-15.298624,-15.246016,-14.497639,-14.722776,-14.001673,-14.424065,-14.733141,-13.745626,-14.784346,-14.227356,-15.70668,-13.123256,-14.69768,-13.19466,-14.419832,-15.511948,-15.453629,-15.398422,-14.840855,-14.513555,-14.856317,-14.621601,-14.482725,-13.515914,-13.598883,-15.005327,-15.264228,-15.454409,-15.040573,-14.7574415,-14.042507,-13.798105,-13.67307,-13.585619,-15.13279
50,-15.352613,-15.213954,-14.718029,-14.208269,-14.074268,-14.554861,-14.995316,-14.464031,-13.598612,-15.447414,-14.76083,-14.893438,-13.245476,-13.93473,-13.795258,-13.362745,-14.182089,-14.021404,-13.883598,-12.595676,-12.5314045,-13.790461,-13.996399,-13.237035,-14.011501,-14.351118,-15.284351,-18.738903,-18.43312,-17.521626,-16.88835,-15.7734165,-15.347161,-16.099325,-16.127075,-15.477486
51,-14.3655405,-14.841387,-15.6093235,-15.481682,-16.4407,-17.202847,-17.00803,-16.262566,-14.6559925,-14.687447,-14.600149,-15.9012985,-15.493807,-15.65978,-15.003598,-14.994402,-14.901073,-14.795935,-14.121645,-13.89193,-13.193195,-13.71855,-14.840777,-13.906651,-14.70731,-14.675722,-14.05355,-14.052229,-15.552257,-14.943449,-15.247744,-15.900616,-14.582568,-14.475544,-14.648642,-15.134036
52,-14.307686,-14.880199,-13.752203,-13.633866,-13.535246,-13.670658,-14.053854,-14.108833,-13.149189,-15.984587,-17.015818,-16.07153,-12.867782,-14.236126,-13.836508,-13.237989,-13.979844,-14.20136,-14.025516,-13.208401,-12.992325,-15.532074,-15.946011,-14.228533,-15.564096,-17.013935,-18.334808,-21.303226,-22.157211,-21.64396,-20.270618,-20.962097,-19.07153,-17.61945,-16.282925,-15.153548
53,-14.984778,-15.365933,-17.518684,-16.197466,-18.992788,-18.506058,-18.736494,-17.839106,-15.845186,-14.700678,-15.283802,-17.659954,-18.907654,-19.03358,-17.205618,-17.438858,-15.486591,-15.216896,-14.534487,-14.712597,-13.36533,-14.070652,-15.191845,-14.515306,-17.956036,-17.512428,-15.939825,-15.7957325,-22.005943,-20.590765,-19.621948,-19.575245,-19.537022,-16.876371,-15.66619,-15.337845
