PID,label
1758,Class 8
1759,Class 8
1760,No Label
1761,Class 5
1762,No Label
1763,Class 6
1764,Class 8
1765,Class 8
1766,Class 6
1767,Class 8
1768,No Label
1769,No Label
1770,Class 8
1771,No Label
1772,Class 8
1773,Class 8
1774,Class 8
1775,Class 3
1776,Class 8
1777,Class 6
1778,No Label
1779,Class 3
1780,Class 6
1781,Class 3
1782,Class 14
1783,No Label
1784,Class 10
1785,No Label
1786,Class 8
1787,Class 10
1788,Class 8
1789,No Label
1790,No Label
1791,Class 10
1792,Class 8
1793,Class 8
1794,No Label
1795,Class 8
1796,No Label
1797,Class 8
1798,Class 8
1799,Class 8
1800,No Label
1801,Class 8
1802,No Label
1803,No Label
1804,Class 4
1805,Class 6
1806,No Label
1807,Class 8
1808,Class 6
1809,Class 8
1810,Class 8
1811,Class 6
1812,Class 8
1813,Class 8
1814,Class 6
1815,No Label
1816,No Label
1817,No Label
1818,Class 9
1819,Class 6
1820,Class 6
1821,No Label
1822,Class 8
1823,Class 8
1824,Class 8
1825,Class 10
1826,No Label
1827,Class 8
1828,Class 3
1829,Class 10
1830,Class 8
1831,Class 10
1832,No Label
1833,Class 6
1834,Class 8
1835,Class 8
1836,Class 3
1837,Class 2
1838,No Label
1839,No Label
1840,No Label
1841,Class 8
1842,Class 3
1843,Class 10
1844,Class 8
1845,Class 6
1846,Class 8
1847,Class 8
1848,No Label
1849,Class 6
1850,Class 8
1851,No Label
1852,Class 3
1853,Class 6
1854,No Label
1855,Class 6
1856,No Label
1857,Class 6
1858,Class 10
1859,No Label
1860,No Label
1861,Class 8
1862,Class 5
1863,Class 6
1864,Class 10
1865,Class 1
1866,Class 8
1867,Class 12
1868,Class 3
1869,Class 8
1870,Class 8
1871,Class 8
1872,No Label
1873,No Label
1874,Class 10
1875,No Label
1876,No Label
1877,Class 10
1878,Class 10
1879,Class 8
1880,No Label
1881,Class 6
1882,No Label
1883,Class 10
1884,No Label
1885,Class 8
1886,No Label
1888,Class 8
1889,Class 3
1890,Class 10
1891,Class 3
1892,No Label
1893,Class 14
1894,Class 3
1895,Class 8
1896,Class 6
1897,Class 3
1898,Class 10
1899,Class 8
1900,Class 6
1901,Class 10
1902,Class 14
1903,Class 6
1904,Class 11
1905,Class 3
1906,No Label
1907,Class 3
1908,Class 8
1909,Class 5
1911,No Label
1912,Class 8
1913,No Label
1914,Class 6
